r,scenario,attack0,attack1,attack2,attack3,attack4
1.2,het5,0.001876900,0.004371120,0.001732980,0.001837590,0.001088830
1.2,het5,0.002179320,0.004893840,0.001898470,0.002039220,0.001220780
1.2,het5,0.002391450,0.004995370,0.001953210,0.002130690,0.001255880
1.2,het5,0.002306680,0.005078090,0.002013390,0.002026640,0.001197480
1.2,het6,0.001801810,0.003670740,0.001582070,0.001610400,0.000965018
1.2,het6,0.001428180,0.003081380,0.001280170,0.001377230,0.000863686
1.2,het6,0.002325330,0.004831330,0.001891630,0.002022800,0.001148600
1.2,het6,0.001618870,0.003500410,0.001581580,0.001580000,0.000978565
1.2,het6,0.001596620,0.003261730,0.001398570,0.001449440,0.000838494
1.2,het6,0.002142060,0.004458850,0.001882120,0.001928400,0.001122740
1.2,het6,0.001613500,0.003421710,0.001424990,0.001492010,0.000900994
1.2,het6,0.001485200,0.003157350,0.001404310,0.001362220,0.000872702
1.2,het6,0.001928900,0.003765930,0.001607690,0.001646310,0.000952227
1.2,het6,0.001382360,0.002942560,0.001352190,0.001314980,0.000788962
1.2,het7,0.001350720,0.002323050,0.001091830,0.001105560,0.000686834
1.2,het7,0.001440620,0.002697740,0.001284060,0.001301170,0.000721036
1.2,het7,0.001424690,0.002829650,0.001229130,0.001308740,0.000766636
1.2,het7,0.001484890,0.002704820,0.001319750,0.001295100,0.000776935
1.2,het7,0.001217460,0.002303230,0.001030480,0.001110620,0.000676734
1.2,het7,0.001266100,0.002504950,0.001214530,0.001210920,0.000745775
1.2,het7,0.001503630,0.002840800,0.001264300,0.001334200,0.000828430
1.2,het7,0.001314250,0.002464170,0.001120550,0.001168870,0.000670290
1.2,het7,0.001318000,0.002401320,0.001177160,0.001183140,0.000689857
1.2,het7,0.001440920,0.002538800,0.001210440,0.001214020,0.000716596
1.2,het8,0.001041240,0.001786120,0.000935752,0.000907270,0.000516100
1.2,het8,0.001027410,0.001867110,0.000951246,0.000953567,0.000583845
1.2,het8,0.001069780,0.001830900,0.000882702,0.000949744,0.000592418
1.2,het8,0.001037160,0.001662100,0.000893349,0.000895143,0.000566136
1.2,het8,0.001067740,0.001672920,0.000927376,0.000906859,0.000584648
1.2,het8,0.001060280,0.001958420,0.000968074,0.001022420,0.000665794
1.2,het8,0.001136350,0.002011960,0.000935101,0.000995613,0.000597965
1.2,het8,0.001035140,0.001856640,0.000874957,0.000954230,0.000599108
1.2,het8,0.001042570,0.001941500,0.001015520,0.000978822,0.000592349
1.2,het8,0.001208790,0.002032570,0.001073800,0.001069490,0.000637174
1.2,het9,0.000683780,0.001025480,0.000655479,0.000599465,0.000388969
1.2,het9,0.000732681,0.001286990,0.000780746,0.000774822,0.000449771
1.2,het9,0.000819106,0.001254790,0.000759923,0.000768817,0.000467874
1.2,het9,0.000837486,0.001375950,0.000851098,0.000824885,0.000485874
1.2,het9,0.000881308,0.001389150,0.000825993,0.000815144,0.000503923
1.2,het9,0.000791416,0.001334580,0.000802828,0.000774673,0.000483717
1.2,het9,0.000806356,0.001381800,0.000766953,0.000790160,0.000518547
